Drug_Name,SMILES
Meclizine,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
Meclofenamic acid,
Mecobalamin,
Medroxyprogesterone acetate,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
Medrysone (ophthalmic),
Mefenamic acid,
Arbutamine,C1=CC(=CC=C1CCCCNCC(C2=CC(=C(C=C2)O)O)O)O
Mefloquine,
Megestrol acetate,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O
Melphalan,
Melphalan flufenamide,
Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C
Meningococcal polysaccharide vaccine group C,
Menotropins,
Mepenzolate,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C
Ardeparin,
Meperidine,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2
Mephentermine,
Mephenytoin,
Mepivacaine,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
Meprobamate,
Mepyramine,
Mercaptopurine,
Meropenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O
Mesalazine,C1=CC(=C(C=C1N)C(=O)O)O
Mesoridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
Arformoterol,
Mestranol,
Metamfetamine,CC(CC1=CC=CC=C1)NC
Metaraminol,CC(C(C1=CC(=CC=C1)O)O)N
Metaxalone,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C
Metformin,CN(C)C(=N)N=C(N)N
Methacholine,CC(C[N+](C)(C)C)OC(=O)C
Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
Methazolamide,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
Methdilazine,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42
Methenamine,C1N2CN3CN1CN(C2)C3
Argatroban,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
Methimazole,CN1C=CNC1=S
Methionine,CSCCC(C(=O)O)N
Methocarbamol,COC1=CC=CC=C1OCC(COC(=O)N)O
Methohexital,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C
